Date,Name,Marketplace,Status
#####,tea strainer,Amazon UK,Rejected (Permanently)
#####,retractable dog lead,Amazon UK,Rejected (Permanently)
#####,posture corrector,Amazon UK,Rejected (Permanently)
#####,milk frothing jug,Amazon UK,Rejected (Permanently)
#####,booty band,Amazon UK,Rejected (Permanently)
#####,paint pallete,Amazon UK,Rejected (Permanently)
#####,wire stripper,Amazon UK,Rejected (Permanently)
#####,floral foam,Amazon UK,Rejected (Permanently)
#####,gel pens,Amazon UK,Rejected (Permanently)
#####,foot file,Amazon UK,Rejected (Permanently)
#####,magnetic knife rack,Amazon UK,Rejected (Permanently)
#####,oven scrapper,Amazon UK,Rejected (Permanently)
#####,bath bombs,Amazon UK,Rejected (Permanently)
#####,hot water bottles,Amazon UK,Rejected (Permanently)
#####,resistance bands,Amazon UK,Rejected (Permanently)
#####,face paint,Amazon UK,Rejected (Permanently)
#####,acrylic paint,Amazon UK,Rejected (Permanently)
,cast iron skillet,Amazon UK,Rejected (Permanently)
7-Apr-21,shower squeegee,Amazon UK,Rejected (Permanently)
7-Apr-21,Embroidery kit,Amazon UK,Rejected (Permanently)
7-Apr-21,double sided tape,Amazon UK,Rejected (Permanently)
7-Apr-21,Garden tools set,Amazon UK,Rejected (Permanently)
4-Apr-21,Proofing basket,Amazon UK,Rejected (Permanently)
27-Mar-21,hanging kit,Amazon UK,Rejected (Permanently)
27-Mar-21,Handlebar grips,Amazon UK,Rejected (Permanently)
27-Mar-21,Balloon arch kit,Amazon UK,Rejected (Permanently)
25-Mar-21,Foam pogo stick,Amazon UK,Rejected (Permanently)
23-Mar-21,Wind Chimes,Amazon UK,Rejected (Permanently)
22-Mar-21,LINT REMOVER,Amazon UK,Rejected (Permanently)
22-Mar-21,hair claw clips,Amazon UK,Rejected (Permanently)
,Paper Bags,Amazon UK,Rejected (Permanently)
20-Mar-21,Sensory Squishy Toys,Amazon UK,Rejected (Permanently)
20-Mar-21,Squeeze Bottle,Amazon UK,Rejected (Permanently)
20-Mar-21,Pizza Cutter,Amazon UK,Rejected (Permanently)
20-Mar-21,Baking Paper,Amazon UK,Rejected (Permanently)
18-Mar-21,BISCUIT TIN,Amazon UK,Rejected (Permanently)
18-Mar-21,Fragile tape,Amazon UK,Rejected (Permanently)
18-Mar-21,soy wax,Amazon UK,Rejected (Permanently)
18-Mar-21,needle threader,Amazon UK,Rejected (Permanently)
16-Mar-21,Cookie Cutters,Amazon UK,Rejected (Permanently)
16-Mar-21,birthday banner,Amazon UK,Rejected (Permanently)
15-Mar-21,Scraper Set,Amazon UK,Rejected (Permanently)
15-Mar-21,octopus,Amazon UK,Rejected (Permanently)
15-Mar-21,balloon whisk,Amazon UK,Rejected (Permanently)
15-Mar-21,weekly planner,Amazon UK,Rejected (Permanently)
14-Mar-21,Candle Moulds,Amazon UK,Rejected (Permanently)
,ice cream mould,Amazon UK,Rejected (Permanently)
12-Mar-21,portable lint remover,Amazon UK,Rejected (Permanently)
11-Mar-21,shredded paper,Amazon UK,Rejected (Permanently)
11-Mar-21,Pasta Maker,Amazon UK,Rejected (Permanently)
10-Mar-21,Bath Sponge,Amazon UK,Rejected (Permanently)
10-Mar-21,dart board set,Amazon UK,Rejected (Permanently)
10-Mar-21,Dog paw cleaner,Amazon UK,Rejected (Permanently)
9-Mar-21,potato grow bags,Amazon UK,Rejected (Permanently)
9-Mar-21,pop bubble fidget sensory toy,Amazon UK,Rejected (Permanently)
9-Mar-21,reversible octopus,Amazon UK,Rejected (Permanently)
9-Mar-21,chess set,Amazon UK,Rejected (Permanently)
6-Mar-21,cushion,Amazon UK,Rejected (Permanently)
